Year,State,Residential
2020,AL,12.58
2020,AR,10.41
2020,AZ,12.27
2020,CA,20.45
2020,CO,12.36
2020,CT,22.71
2020,DC,12.63
2020,DE,12.56
2020,FL,11.27
2020,GA,12.02
2020,IA,12.46
2020,ID,9.95
2020,IL,13.04
2020,IN,12.83
2020,KS,12.85
2020,KY,10.87
2020,LA,9.67
2020,MA,21.97
2020,MD,13.01
2020,ME,16.81
2020,MI,16.26
2020,MN,13.17
2020,MO,11.22
2020,MS,11.17
2020,MT,11.24
2020,NC,11.38
2020,ND,10.44
2020,NE,10.80
2020,NH,19.04
2020,NJ,16.03
2020,NM,12.94
2020,NV,11.34
2020,NY,18.36
2020,OH,12.29
2020,OK,10.12
2020,OR,11.17
2020,PA,13.58
2020,RI,22.01
2020,SC,12.78
2020,SD,11.75
2020,TN,10.76
2020,TX,11.71
2020,UT,10.44
2020,VA,12.03
2020,VT,19.54
2020,WA,9.87
2020,WI,14.32
2020,WV,11.80
2020,WY,11.11
