,zip,ghi
541,1907,4.01947247975
612,2108,4.017692486666667
613,2109,4.020340783428572
614,2110,4.020340783428572
615,2111,4.017692486666667
616,2112,4.017692486666667
617,2113,4.017692486666667
618,2114,4.017692486666667
619,2115,4.017483098285714
620,2116,4.017483098285714
621,2117,4.017692486666667
622,2118,4.017692486666667
624,2120,4.021777561857143
627,2123,4.017692486666667
631,2127,4.026047468333333
632,2128,4.0228676797142855
633,2129,4.017692486666667
637,2133,4.017692486666667
645,2141,4.017483098285714
646,2142,4.017483098285714
647,2143,4.017483098285714
649,2145,4.017483098285714
651,2149,4.017692486666667
652,2150,4.018561283833334
654,2152,4.0230995815
672,2196,4.017692486666667
673,2199,4.017483098285714
674,2201,4.017692486666667
675,2203,4.017692486666667
676,2204,4.017692486666667
677,2205,4.017692486666667
678,2206,4.017692486666667
679,2207,4.020340783428572
680,2210,4.021037260833333
681,2211,4.017692486666667
682,2212,4.017692486666667
683,2215,4.017483098285714
684,2216,4.017692486666667
685,2217,4.017692486666667
686,2222,4.017692486666667
687,2228,4.017692486666667
689,2239,4.017483098285714
690,2241,4.017692486666667
691,2266,4.017692486666667
693,2283,4.017692486666667
694,2284,4.017692486666667
695,2293,4.017692486666667
696,2295,4.017692486666667
697,2297,4.017692486666667
698,2298,4.020340783428572
747,2446,4.01793473975
748,2447,4.021692395375
793,2554,none
801,2564,none
809,2584,none
899,2807,4.106471539
1283,4003,3.919736782666666
1582,4635,3.8620810505
1588,4645,none
1615,4681,3.8711055119999997
1618,4685,3.8620810505
1674,4851,none
1675,4852,3.8998222350000002
1685,4863,3.960999966
2509,7002,none
2510,7003,4.0677621365
2515,7008,4.113804721799999
2523,7016,4.0991641044
2524,7017,4.077537854666666
2525,7018,4.077537854666666
2526,7019,4.077537854666666
2532,7026,4.074212908750001
2533,7027,4.100224812833333
2534,7028,4.077537854666666
2535,7029,4.1088929175
2536,7030,4.100893259
2537,7031,4.100893259
2538,7032,4.100893259
2539,7033,4.0887910841999995
2542,7036,4.10345542425
2544,7040,4.088170719
2545,7041,4.0887910841999995
2546,7042,4.0677621365
2552,7050,4.077094316499999
2553,7051,4.077094316499999
2554,7052,4.079181289599999
2557,7057,4.074212908750001
2570,7070,4.0800738333333335
2571,7071,4.100893259
2572,7072,4.079402089
2573,7073,4.079402089
2574,7074,4.074847698200001
2575,7075,4.074847698200001
2579,7079,4.088170719
2583,7083,4.0855169295
2584,7086,4.100893259
2585,7087,4.100893259
2586,7088,4.0887910841999995
2587,7090,4.100224812833333
2588,7091,4.100224812833333
2591,7094,4.093057791333334
2593,7096,4.093057791333334
2594,7097,4.103000641
2595,7099,4.100893259
2596,7101,4.118999958
2597,7102,4.1088929175
2598,7103,4.092520237
2599,7104,4.086419343999999
2600,7105,4.118999958
2601,7106,4.08833110325
2602,7107,4.077537854666666
2603,7108,4.089387416999999
2604,7109,4.086419343999999
